Company,Team Strength,Sector,Location
Kritsnam Technologies Pvt. Ltd.,11-20,Environment Clean Tech,Kanpur Nagar
JBS Agro Farms Pvt LTD,11-20,Agriculture|Infrastructure Transport,Sundargarh
Howdy Ventures Private Limited,11-20,Sports and Fitness,Chennai
Shrihaas Consultancy Services,11-20,Digital marketing and consulting,Coimbatore
AlmaShines Technologies Private Limited,11-20,Education,Ahmedabad
ideez,11-20,Education,Tiruvallur
Arrelic Reliability Private Limited,11-20,Agriculture|Industrial IoT,Khordha
FINOLOGY VENTURES PRIVATE LIMITED,11-20,Education|Financial Inclusion|Business services like taxation - business formation and management - trademark services - etc,Raipur
IoTian Technologies Private Limited,11-20,Deep tech- IoT -  Artificial Intelligence,Bangalore
CamfyVision Technologies Pvt. Ltd.,11-20,Education,Bangalore
Santos Kumar Das,11-20,Healthcare|Infrastructure Transport|Environment Clean Tech|Clean Energy Solution|Smart city,Sundargarh
FYROOMS,11-20,Hospitality Company,Kolkata
Waferchips Techno Solutions Pvt Ltd,11-20,Healthcare,Kollam
Greens and more,11-20,HEALTH FOOD,Hyderabad
KloudPortal,11-20,AI powered CRM,Hyderabad
Budli Internet Private Limited,11-20,Financial Inclusion|Environment Clean Tech|ReCommerce of used gadgets,Bangalore
Healtheeliving E Solutions Pvt Ltd,11-20,Healthcare,Hyderabad
OCEO WATER PRIVATE LIMITED,11-20,Clean Energy Solution,Bangalore
Janani Foods Pvt Ltd,11-20,Agriculture,Hyderabad
Bigdatamatica Solutions Pvt Ltd,11-20,Healthcare|Education|Agriculture|Financial Inclusion|Infrastructure Transport,Hyderabad
Academy of Robotics,11-20,Robotics Ed-Tech Research,Visakhapatnam
Terminus Circuits Pvt Ltd,11-20,Off the Shelf IPs  Intellectual Property development for high speed interface serial links,Bangalore
Microscale Technology OPC pvt LTD,11-20,IT Telecom Storage Software services,Bangalore
SquadX Innovations Pvt. Ltd.,11-20,Education|IT services and Products,Gurugram
KP Factors,11-20,B2B SaaS- Retail Chain Integration,Gurugram
Robokart,11-20,Education,Mumbai City
Datacultr,11-20,Financial Inclusion,South Delhi
Zimyo,11-20,Financial Inclusion,Gurugram
OLatus Systems Private Limited,11-20,Research and Customised Product development in Electronics,Kamrup Metropolitan
Anextech Electronics Manufacturing Pvt. Ltd.,11-20,Electronics Manufacturing,Bangalore
DronaMaps Private Limited,11-20,Agriculture|Drones,Indore
Drones Tech Lab - A Unit of RC Hobbytech Solutions Pvt Ltd,11-20,Aerospace and Drone Technology,North 24 Parganas
MMRFIC TECHNOLOGY PRIVATE LIMITED,11-20,communications and radar system in millimetric wave,Bangalore
Zenida Studios,11-20,Media and Entertainment,Dehradun
EVQPoint,11-20,Clean Energy Solution,Bangalore
Ray Purifiers,11-20,Environment Clean Tech,Krishna
Cryptappz Technologies LLP,11-20,Healthcare|Industrial Automation and Instrumentation,Kolkata
SERIES 5 LABS PRIVATE LIMITED,11-20,Mass Media AR VR and Machine Learning,Bangalore
Fintech IT Solutions LLP,11-20,Financial Inclusion,Jodhpur
Chromosis Technologies Pvt Ltd,11-20,Software Development,Dharwad
TroonDx Technologies Pvt Ltd,11-20,Blockchain and Data Analytics,Chennai
Aura Education,11-20,Education,Dharwad
Tericsoft Technology Solutions Pvt Ltd.,11-20,Digital Transformation,Hyderabad
Yantranet Technologies Private Limited,11-20,Information Technology - Advertising,Visakhapatnam
ANTAR IoT Private Limited,11-20,Urban Tech,Visakhapatnam
Circle of Life Healthcare Pvt Ltd,11-20,Healthcare,New Delhi
GoBikes,11-20,Infrastructure Transport,Lucknow
Bodhi Health Education Pvt. Ltd,11-20,Healthcare|Education,Gurugram
SchoolPad Technologies Private Limited,11-20,Education,Sahibzada Ajit Singh Nagar
ATOM MOTORS,11-20,ELECTRIC AUTOMOBILE COMPANY,Guntur
Clavictor Academy Pvt. Ltd.,11-20,Education,Sundargarh
ALKHOLOCKS,11-20,Healthcare|Infrastructure Transport,Krishna
C electric automotive drives pvt ltd,11-20,Infrastructure Transport|Environment Clean Tech|Electric Vehicles,Ernakulam
Doorastha Analytics Pvt Ltd,11-20,Environment Clean Tech|Clean Energy Solution,East Delhi
